x,y,z,yaw,velocity,change_flag
-27.6432,-21.1657,1.3023,0.9852,6,0
-27.0864,-20.3167,1.2783,0.9772,6,0
-26.5016,-19.4757,1.1972,0.9686,6,0
-25.9569,-18.6333,1.2328,0.9624,6,0
-25.4099,-17.7583,1.2915,0.9539,6,0
-24.8448,-16.9074,1.2712,0.953,6,0
-24.2803,-16.0644,1.2094,0.9493,6,0
-23.7093,-15.2261,1.2472,0.9485,6,0
-23.1242,-14.4018,1.1553,0.9574,6,0
-22.5508,-13.5296,1.196,0.9824,6,0
-22.0501,-12.6471,1.2039,0.9981,6,0
-21.4806,-11.7714,1.0085,1.0205,6,0
-20.9916,-10.8616,1.103,1.0483,6,0
-20.5355,-9.9665,1.0437,1.1342,6,0
-20.1484,-9.0338,0.9686,1.2159,6,0
-19.8948,-8.0576,1.0429,1.2987,6,0
-19.6337,-7.0601,1.0173,1.3638,6,0
-19.4581,-6.068,1.0165,1.2794,6,0
-19.0814,-5.1377,1.0291,0.8893,6,0
-18.3183,-4.4742,1.0196,0.4991,6,0
-17.3686,-4.0674,1.0294,0.2808,6,0
-16.4037,-3.7363,0.9939,0.3473,6,0
-15.4712,-3.3642,0.9805,0.3687,6,0
-14.5331,-2.9749,0.97,0.3553,6,0
-13.5839,-2.6194,0.9786,0.3285,6,0
-12.6212,-2.3024,0.9752,0.3006,6,0
-11.6511,-1.9432,0.9591,0.3758,6,0
-10.7436,-1.5208,0.9746,0.5481,6,0
-9.957,-0.8719,0.8791,0.7712,6,0
-9.3336,-0.0873,0.8894,1.0819,6,0
-9.0295,0.902,0.8928,1.4289,0,0
